restaurantID,name,location,reviewCount,rating,categories,address,Latitude,Longitude,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber,filReviewCount
03Rr6CHAjtJuoG_im3xg8w,Tesori,"Tesori - The Loop - Chicago, IL",6,4,"Restaurants, Italian, Mediterranean, METADATA","65 E Adams St (between Wabash Ave & Dearborn St) Chicago, IL 60603 ",41.879335,-87.625427,Mon-Sun 11 am - 9:30 pm,No,Yes,,Casual,Yes,$$$$,Yes,,,,,,,Full Bar,Average,,Yes,,,http://www.tesorichicago.com/,(312) 786-9911,2
0lDrCk-haGBAZZeTtLwulw,Sopraffina,"Sopraffina - The Loop - Chicago, IL",27,4,"Restaurants, Italian, Sandwiches, METADATA","Illinois Center 111 E Wacker Dr Chicago, IL 60601 ",41.888204,-87.624019,Mon-Fri 6:30 am - 3 pm,No,Yes,,Casual,No,$$,No,Yes,Yes,No,No,,Lunch,No,,,,,Yes,http://www.sopraffina.com,(312) 861-0200,1
0NxbQw_0CDMoivD7UcrMQg,Hackney's Printers' Row,"Hackney's Printers' Row - Printer's Row - Chicago, IL",334,4,"Restaurants, Burgers, Nightlife, Bars, American (Traditional), METADATA","733 S Dearborn St (between Harrison St & Polk St) Chicago, IL 60605 ",41.872562,-87.628843,Mon-Tue 11 am - 10 pm Wed-Thu 11 am - 10:30 pm Fri 11 am - 11:30 pm Sat 10:30 am - 10:30 pm Sun 10:30 am - 10 pm,Yes,Yes,Street,Casual,Yes,$$,No,Yes,Yes,Yes,Yes,No,Dinner,Full Bar,Average,Casual,Yes,No,Yes,http://www.hackneysprintersrow.net,(312) 461-1116,31
0riReGUvbcjeDKFo290a6g,Off-Track Betting-Otb,"Off-Track Betting-Otb - The Loop - Chicago, IL",1,5,"Restaurants, Sandwiches, METADATA","233 W Jackson Blvd (between Wells St & Franklin St) Chicago, IL 60606 ",41.877948,-87.634926,,,,,,,,,,,,,,,,,,,,,,(312) 427-2300,0
0S9Jwud_Z-ViNoiR4me6iQ,Patty Burger,"Patty Burger - CLOSED - The Loop - Chicago, IL",70,3,"Restaurants, Burgers, American (Traditional), METADATA","72 E Adams St (between Dearborn St & Wabash Ave) Chicago, IL 60603 ",41.879697,-87.625129,,Yes,Yes,Street,Casual,No,$,No,Yes,Yes,No,No,,Lunch,No,,,No,,Yes,http://www.pattyburger.com,(312) 987-0900,8
0SSiwwihNfYeM1-spqgIBQ,Custom House Tavern,"Custom House Tavern - Printer's Row - Chicago, IL",283,4,"Restaurants, American (New), METADATA","500 S Dearborn St (between Congress Pky & Harrison St) Chicago, IL 60605 ",41.874874,-87.629512,Mon-Fri 11:30 am - 10 pm Sat 12 pm - 10 pm Sun 10:30 am - 2 pm Sun 5 pm - 9 pm,No,Yes,"Garage, Street, Valet",Dressy,Yes,$$$,Yes,No,Yes,Yes,No,No,Dinner,Full Bar,Quiet,"Classy, Upscale",Yes,,Yes,http://www.customhouse.cc/,(312) 523-0200,42
0yP87uAYtYR4KpumVdAFEw,The Grille on State,"The Grille on State - CLOSED - South Loop - Chicago, IL",4,2,"Restaurants, American (New), METADATA","823 S State St (between 8th St & Polk St) Chicago, IL 60605 ",41.871537,-87.627456,,,,,,,,,,,,,,,,,,,,,,(312) 922-0900,0
12YOCJb0zuKue-F7ysHGSg,BomBon 4,"BomBon 4 - CLOSED - The Loop - Chicago, IL",50,5,"Restaurants, Mexican, METADATA","170 W Washington St (between La Salle St & Wells St) Chicago, IL 60602 ",41.88344,-87.633175,,Yes,Yes,Street,Casual,Yes,$,No,No,Yes,Yes,No,,Lunch,No,,,,,Yes,http://www.bomboncafe.com,(312) 781-2788,1
1Bk1hgF4dRutIm2srql7Kg,Harold's Chicken Shack No 77,"Harold's Chicken Shack No 77 - CLOSED - The Loop - Chicago, IL",7,3,"Restaurants, Chicken Wings, METADATA","39 N Wells Street Chicago, IL 60606 ",41.882724,-87.633666,,Yes,No,,Casual,Yes,$,No,No,Yes,No,,,,,,,,,,,(312) 345-1200,2
1prznGO3MwE6Yf60xYuwTQ,Chicago Windy House,"Chicago Windy House - Near West Side - Chicago, IL",2,4,"Restaurants, Fast Food, METADATA","2 N. Riverside Plaza #2 Chicago, IL 60606 ",41.882593,-87.639151,,,,,,,,,,,,,,,,,,,,,,(312) 879-0447,1
1QYw2DpFXY6PqvV7C0GTZw,Giordano's Pizzeria,"Giordano's Pizzeria - The Loop - Chicago, IL",25,3,"Restaurants, Pizza, METADATA","130 E Randolph St (between Beaubien Ct & Stetson Ave) Chicago, IL 60601 ",41.884916,-87.623124,,Yes,Yes,,Casual,Yes,$$,,,Yes,Yes,Yes,,Dinner,Full Bar,Loud,Casual,Yes,Yes,,,(312) 616-1200,2
1rJZHq8Cce3PJxCte1lalw,Roti Mediterranean Grill,"Roti Mediterranean Grill - The Loop - Chicago, IL",39,4,"Restaurants, Mediterranean, METADATA","200 W Randolph (between Wells St & Franklin St) Chicago, IL 60606 ",41.88478,-87.634293,Mon-Fri 11 am - 8 pm Sat 11 am - 4 pm,Yes,Yes,Street,Casual,Yes,$,No,Yes,Yes,No,Yes,No,Lunch,No,Very Loud,Casual,No,Yes,,http://www.roti.com,(312) 332-6013,5
1S3tW00La1Nphe91vFBjog,Around the Corner,"Around the Corner - CLOSED - The Loop - Chicago, IL",3,5,"Restaurants, METADATA","325 S Franklin St (between Jackson Blvd & Van Buren St) Chicago, IL 60606 ",41.877315,-87.63485,,,,,,,,,,,,,,,,,,,,,,(312) 341-9405,0
1uqwWskpD_i2Icx0f9S8jg,Roti Mediterranean Grill,"Roti Mediterranean Grill - The Loop - Chicago, IL",102,4,"Restaurants, Mediterranean, METADATA","33 N Dearborn Chicago, IL 60602 ",41.882887,-87.628934,Mon-Fri 7 am - 8 pm Sat 10 am - 4 pm,Yes,Yes,Street,Casual,Yes,$,No,No,Yes,No,Yes,Free,Lunch,No,Average,Casual,No,Yes,Yes,http://roti.com,(312) 263-9000,7
1y1xDvXbO-bKZFgmkMALVA,Lockwood,"Lockwood - The Loop - Chicago, IL",134,4,"Restaurants, American (New), Italian, METADATA","Palmer House Hilton 17 E Monroe St Chicago, IL 60603 ",41.880605,-87.627428,,No,Yes,Valet,Dressy,Yes,$$$,Yes,No,No,Yes,No,Paid,Dinner,Full Bar,Average,"Classy, Upscale",No,No,Yes,http://www.lockwoodrestaurant.com,(312) 726-7500,14
21D0_8YEyT7I69iwY6XIlQ,M Burger,"M Burger - The Loop - Chicago, IL",39,3,"Restaurants, Burgers, METADATA","The Atrium Mall 100 W Randolph St Chicago, IL 60601 ",41.88477,-87.631546,Mon-Fri 10 am - 5 pm,Yes,Yes,Street,Casual,Yes,$,No,No,Yes,No,No,No,Lunch,No,Average,Casual,No,No,,http://www.mburgerchicago.com/,(312) 578-1478,4
24sB8bOQneWRVBi9N1VY5Q,Corner Bakery Cafe,"Corner Bakery Cafe - The Loop - Chicago, IL",45,4,"Restaurants, Sandwiches, Breakfast & Brunch, METADATA","233 S Wacker Dr Chicago, IL 60601 ",41.878863,-87.635908,Mon-Fri 6 am - 4 pm,Yes,Yes,,Casual,No,$,No,Yes,Yes,No,Yes,Free,Lunch,No,,,No,,Yes,http://www.cornerbakerycafe.com,(312) 466-0200,2
2CWs-l5YJSNgRN77erAXbw,Falafill,"Falafill - The Loop - Chicago, IL",20,5,"Restaurants, Middle Eastern, Vegetarian, METADATA","72 E Adams St Chicago, IL 60604 ",41.879739,-87.62513,Mon-Fri 11 am - 8 pm,Yes,Yes,Street,Casual,Yes,$,No,Yes,Yes,No,No,No,Lunch,No,Average,,No,Yes,,http://eatfalafill.com,(312) 360-9400,1
2g63sTi0w1aB6avw7rP69w,Halsted Street Deli,"Halsted Street Deli - The Loop - Chicago, IL",25,3,"Restaurants, Delis, METADATA","400 S La Salle St (between Van Buren St & Congress Pky) Chicago, IL 60605 ",41.876479,-87.632134,Mon-Fri 6 am - 2:30 pm,Yes,No,"Garage, Street",Casual,No,$,No,Yes,Yes,No,No,,Lunch,No,Average,,Yes,,Yes,http://www.halstedstreetdeli.com,(312) 447-0412,5
2G_LdsOLFtHhekimlOeRcw,Mezza Grilled Wraps and Pitas,"Mezza Grilled Wraps and Pitas - The Loop - Chicago, IL",43,4,"Restaurants, Mediterranean, METADATA","225 N Michigan Ave (between Lake St & Wacker Pl) Chicago, IL 60601 ",41.886384,-87.623651,,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,,Lunch,No,Loud,,No,,Yes,http://www.mezzagrill.com,(312) 729-2884,1
2wQJD6EQTSsEKuJLysYB_g,Potbelly's,"Potbelly's - The Loop - Chicago, IL",65,4,"Restaurants, Sandwiches, METADATA","150 S Wacker Dr (between Adams St & La Salle St) Chicago, IL 60606 ",41.879592,-87.637435,,Yes,Yes,Street,Casual,Yes,$,No,Yes,Yes,No,No,,Lunch,No,Average,Casual,No,Yes,Yes,http://www.potbelly.com,(312) 419-1148,24
2xezU4jZXr3SsdNVq5Ta6g,Nicola's Pizzeria,"Nicola's Pizzeria - CLOSED - The Loop - Chicago, IL",27,4,"Restaurants, Pizza, METADATA","400 S Financial Pl (between Van Buren St & Congress Pky) Chicago, IL 60605 ",41.876644,-87.633297,,Yes,Yes,,Casual,No,$,No,No,Yes,No,Yes,,Lunch,No,Average,,No,Yes,Yes,,(312) 583-1234,3
2ZURzjCMKBBClbafMY0eHw,Tokyo Lunch Boxes & Catering,"Tokyo Lunch Boxes & Catering - The Loop - Chicago, IL",16,3,"Restaurants, Japanese, METADATA","111 E Wacker Dr (between Beaubien Ct & Lower Wacker Dr) Chicago, IL 60601 ",41.887624,-87.623651,,No,Yes,,Casual,,$,No,No,Yes,No,No,,,No,,,,,,http://tokyolunchboxncatering.com,(312) 938-4450,1
32xJ0Xxshxzy8XhXp2WnKQ,Jimmy John's,"Jimmy John's - Near West Side - Chicago, IL",13,4,"Restaurants, Sandwiches, METADATA","200 N Jefferson St Chicago, IL 60601 ",41.886072,-87.643159,,Yes,Yes,Street,Casual,Yes,$,No,Yes,Yes,No,Yes,,Lunch,No,Average,,,,Yes,http://www.jimmyjohns.com,(312) 474-9700,1
38gt6s_jrOlnjHhHAODXXA,Cellars Market,"Cellars Market - Chicago, IL",36,4,"Restaurants, American (Traditional), METADATA","141 W Jackson Blvd Lower Level (at W Jackson St at LaSalle St) Chicago, IL 60604",41.877823,-87.63238,Mon-Fri 6 am - 2:30 pm,Yes,Yes,,Casual,Yes,$,No,Yes,Yes,No,No,Free,Lunch,No,Average,Casual,No,Yes,Yes,,(312) 427-3444,1
3FSFRihADufwF4ZmJ5V4eA,U Food Grill,"U Food Grill - CLOSED - South Loop - Chicago, IL",7,3,"Restaurants, Fast Food, Vegetarian, METADATA","823 S State St (between 8th St & Polk St) Chicago, IL 60605 ",41.871537,-87.627456,,,Yes,,Casual,,,,Yes,Yes,No,,,,,,,,,,http://www.ufoodgrill.com,(312) 922-0900,0
3GXFsq9rJZUWXOJCQf-dIQ,Max's Take Out,"Max's Take Out - The Loop - Chicago, IL",103,4,"Restaurants, Burgers, Hot Dogs, American (New), METADATA","20 E Adams St (between Wabash Ave & Dearborn St) Chicago, IL 60603 ",41.879715,-87.626882,Mon-Thu 6 am - 8 pm Fri 6:30 am - 9 pm Sat 10 am - 9 pm Sun 12 am - 8 pm,Yes,Yes,Street,Casual,No,$,No,No,Yes,No,No,No,Lunch,No,Average,Casual,No,,Yes,http://www.maxschicago.com,(312) 553-0170,24
3NHRKPfkUbG3FNfcXt8gqQ,Arby's,"Arby's - CLOSED - The Loop - Chicago, IL",13,3,"Restaurants, Fast Food, METADATA","195 N Dearborn St (between Couch Pl & Lake St) Chicago, IL 60601 ",41.885448,-87.629056,,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,,,No,,,,,Yes,,(312) 263-3515,0
3pL7x-7C29VUffLDDwOt8g,Chen's Chinese Express,"Chen's Chinese Express - The Loop - Chicago, IL",10,3,"Restaurants, Chinese, METADATA","201 N Clark St (between Haddock Pl & Lake St) Chicago, IL 60601 ",41.886096,-87.630399,Mon-Fri 10:30 am - 7:30 pm Sat 10:30 am - 3:30 pm,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,,,No,,,,,Yes,,(312) 201-8035,3
3Sm8sZ0FrFQpbu9Eft1ROA,Hannah's Bretzel,"Hannah's Bretzel - The Loop - Chicago, IL",116,4,"Restaurants, Sandwiches, METADATA","131 S Dearborn St Chicago, IL 60603 ",41.879699,-87.629108,Mon-Fri 7 am - 7 pm Sat-Sun 10 am - 3 pm,Yes,Yes,Street,Casual,No,$$,No,Yes,Yes,No,No,Free,Lunch,No,Average,"Trendy, Casual",No,Yes,Yes,http://www.hannahsbretzel.com/,(312) 621-1111,8
42fKxghGjTmoBaTsX0OiFg,Ronny's Original Chicago Steak House,"Ronny's Original Chicago Steak House - The Loop - Chicago, IL",67,4,"Restaurants, Steakhouses, Sandwiches, Barbeque, METADATA","100 W Randolph St (between Michigan Ave & Beaubien Ct) Chicago, IL 60601 ",41.885153,-87.631672,,Yes,Yes,Street,Casual,Yes,$,No,No,Yes,No,No,No,Lunch,Beer & Wine Only,Average,Casual,No,,Yes,http://www.ronnyssteakhouse.com,(312) 346-9487,11
47CFeWqm4WxQZVKWNdLxbw,The Big Downtown,"The Big Downtown - CLOSED - The Loop - Chicago, IL",14,4,"Restaurants, Breakfast & Brunch, Nightlife, Bars, American (Traditional), METADATA","124 S Wabash Ave Chicago, IL 60603 ",41.880229,-87.626434,,,Yes,,,,$$,,,,,,,,,,,,,Yes,,(312) 917-7399,0
4bn_9znR6PX7UUjltzKOlw,Subway,"Subway - The Loop - Chicago, IL",1,2,"Restaurants, METADATA","125 S Clark St Bsmt Chicago, IL 60603 ",41.879659,-87.630322,,,,,,,,,,,,,,,,,,,,,,(312) 346-8740,1
4fThwu5WLrejpf9KsDzmoQ,Haifa Cafe,"Haifa Cafe - The Loop - Chicago, IL",55,3,"Restaurants, Middle Eastern, Mediterranean, Cafes, METADATA","19 N Wells St Chicago, IL 60606 ",41.882531,-87.633459,,Yes,Yes,Street,Casual,No,$,No,Yes,Yes,No,No,No,Lunch,No,Average,,,Yes,Yes,http://myhaifacafe.com,(312) 214-1144,3
4hEWyzVZ4gKdAoBpsd7Rrw,The Italian Village Restaurants,"The Italian Village Restaurants - The Loop - Chicago, IL",328,3,"Restaurants, Italian, Nightlife, Bars, METADATA","71 W Monroe St (between Wabash Ave & Michigan Ave) Chicago, IL 60603 ",41.880538,-87.630205,Mon-Thu 11 am - 12 am Fri-Sat 11 am - 1 am Sun 12 pm - 12 am,Yes,Yes,Valet,Casual,Yes,$$,Yes,No,Yes,Yes,No,No,Dinner,Full Bar,Average,"Romantic, Intimate",No,Yes,Yes,http://www.italianvillage-chicago.â€¦,(312) 332-7005,88
4jaALpR4I29-SIZ5C1o_5A,Pockets,"Pockets - CLOSED - The Loop - Chicago, IL",35,4,"Restaurants, Sandwiches, METADATA","329 S Franklin St (between Jackson Blvd & Van Buren St) Chicago, IL 60606 ",41.877388,-87.634803,,Yes,Yes,Street,Casual,Yes,$,No,Yes,Yes,No,No,,Lunch,No,Average,,No,Yes,,http://www.pocketsonline.com,(312) 922-9255,7
4JUhaXWC1IcUFcA_tOVYuA,McDonald's,"McDonald's - The Loop - Chicago, IL",6,2,"Restaurants, Fast Food, METADATA","186 W Adams (between La Salle St & Wells St) Chicago, IL 60603 ",41.879444,-87.633774,,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,,,No,Average,,No,No,Yes,http://www.mcdonalds.com,(312) 580-0773,0
4t55Sb9C0lnsCyuZhjcP0A,Wow Bao,"Wow Bao - The Loop - Chicago, IL",24,4,"Restaurants, Chinese, METADATA","225 N Michigan Ave (between Lake St & Wacker Pl) Chicago, IL 60601 ",41.886384,-87.623651,,Yes,Yes,,Casual,No,$,No,Yes,Yes,No,No,,Lunch,No,Loud,"Trendy, Casual",No,Yes,,http://wowbao.com,(312) 226-2299,0
4yihQrVTYRRuRAA4-joVeQ,Taco Fresco,"Taco Fresco - The Loop - Chicago, IL",41,2,"Restaurants, Mexican, Fast Food, METADATA","23 E Adams St (between State St & Dearborn St) Chicago, IL 60603 ",41.879356,-87.626686,,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,,Lunch,No,Average,,No,,Yes,,(312) 939-2877,10
5AfHTvp-T9JwHBJ1gupJ2A,KFC Express,"KFC Express - The Loop - Chicago, IL",6,3,"Restaurants, Fast Food, METADATA","100 W Randolph St Thompson Center (between Beaubien Ct & Michigan Ave) Chicago, IL 60601 ",41.885127,-87.63169,,No,Yes,,Casual,No,$,No,No,Yes,No,No,No,,No,,,,,Yes,http://www.kfc.com,(312) 630-0342,0
5d5KsQZSjd2k7HGxfPhssA,Jimmy John's,"Jimmy John's - Near Southside - Chicago, IL",14,4,"Restaurants, Delis, Sandwiches, METADATA","1250 S Michigan Ave (between 13th St & Roosevelt Rd) Chicago, IL 60605 ",41.866242,-87.624577,,Yes,Yes,Street,Casual,Yes,$,No,Yes,Yes,No,No,,Lunch,No,,,,,Yes,http://www.jimmyjohns.com,(312) 379-0090,1
5Gx4M2rRQ9wIhw66gNnxzw,Kamehachi,"Kamehachi - The Loop - Chicago, IL",39,3,"Restaurants, Sushi Bars, Japanese, METADATA","311 S Wacker Dr (between Van Buren St & Jackson Blvd) Chicago, IL 60606 ",41.877454,-87.636156,,Yes,Yes,,Casual,Yes,$$,No,Yes,Yes,No,No,,Lunch,No,,,,,Yes,,(312) 765-8700,1
5WU5wPtC9DpgwWqkQurAnw,Which Wich Superior Sandwiches,"Which Wich Superior Sandwiches - The Loop - Chicago, IL",62,4,"Restaurants, Sandwiches, METADATA","108 N State St Ste 002 (between Washington St & Court Pl) Chicago, IL 60602 ",41.883897,-87.628465,Mon-Fri 7 am - 7 pm Sat 10 am - 6 pm,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,No,Lunch,No,Average,Casual,No,Yes,Yes,http://www.whichwich.com,(312) 658-0030,4
5Z9BWcCSSkqTYivrB0TT1A,Pret A Manger,"Pret A Manger - The Loop - Chicago, IL",112,4,"Restaurants, Fast Food, Sandwiches, METADATA","211 W Adams St (between Wells St & Franklin St) Chicago, IL 60606 ",41.87902,-87.634493,Mon-Fri 7 am - 7 pm,Yes,Yes,Street,Casual,Yes,$,No,,Yes,No,No,No,Lunch,No,Average,Casual,No,Yes,Yes,http://www.pret.com,(312) 546-8270,9
66-K1gf6ToEqd_jo5iUvPA,Opart Thai House,"Opart Thai House - Near Southside - Chicago, IL",338,4,"Restaurants, Thai, METADATA","1906 S State St Chicago, IL 60606 ",41.856082,-87.627485,"Mon-Thu, Sun 11 am - 10 pm Fri-Sat 11 am - 11 pm",Yes,Yes,Street,Casual,Yes,$,Yes,Yes,Yes,Yes,No,No,Dinner,Full Bar,Average,Casual,No,Yes,Yes,http://www.opartthai.com,(312) 567-9898,32
67w81wXIS2aRlfviFPlnZQ,Pizza-Ria,"Pizza-Ria - South Loop - Chicago, IL",8,4,"Restaurants, Pizza, METADATA","719 S State St (between Balbo Ave & Polk St) Chicago, IL 60605 ",41.872615,-87.62716,,Yes,Yes,Street,Casual,Yes,$$,No,Yes,Yes,No,No,,,No,,,,,No,http://paulyspizza.com/,(312) 957-1111,2
6h5fsLQxZFHVtoaYMvUgjw,West Egg Cafe,"West Egg Cafe - CLOSED - The Loop - Chicago, IL",12,3,"Restaurants, METADATA","66 E Washington St (between Clark St & Dearborn St) Chicago, IL 60602 ",41.883346,-87.6255,,Yes,Yes,Street,Casual,No,$,No,No,,Yes,No,,,,,,,,No,,(312) 236-3322,0
6KPItRRz_F8kpDnjHlXAtQ,Exposure Restaurant & Lounge,"Exposure Restaurant & Lounge - CLOSED - Near Southside - Chicago, IL",50,3,"Restaurants, American (New), Arts & Entertainment, Music Venues, Nightlife, METADATA","1315 S Wabash Avenue (between 13th St & 14th St) Chicago, IL 60605 ",41.865381,-87.625485,,No,Yes,"Street, Valet",Casual,Yes,$$$,Yes,No,Yes,Yes,Yes,,Dinner,Full Bar,,,,,No,http://www.exposurerestaurants.com,(312) 662-1082,7
6QRmthF8jBUfSMDtx529SA,The Garden Restaurant,"The Garden Restaurant - The Loop - Chicago, IL",16,4,"Restaurants, American (New), METADATA","111 S Michigan Ave The Art Institute of Chicago (between Adams St & Monroe St) Chicago, IL 60603 ",41.879585,-87.623713,,Yes,Yes,Garage,Casual,Yes,$$,Yes,No,No,Yes,Yes,,Lunch,Full Bar,Loud,,,,Yes,http://www.artic.edu/aic/visitor_iâ€¦,(312) 553-9675,2
6RObl38FhMoUz3N7EUp3LQ,French Quarter Restaurant,"French Quarter Restaurant - Chicago, IL",1,4,"Restaurants, French, METADATA","17 E Monroe St Lbby Chicago, IL 60603",41.880605,-87.627428,,,,,,,,,,,,,,,,,,,,,,(312) 726-7500,0
6V-_fOaVf_JKGWxA4PvDDA,Bennigan's,"Bennigan's - CLOSED - The Loop - Chicago, IL",26,3,"Restaurants, METADATA","225 N Michigan Avenue (between Lake St & Wacker Pl) Chicago, IL 60601 ",41.886384,-87.623651,,Yes,Yes,,Casual,Yes,$$,,,Yes,Yes,No,,,,,,,,Yes,,(312) 938-9080,3
6Xbh41PvEtxzibI_FufiWg,Pizzahut Express,"Pizzahut Express - Near West Side - Chicago, IL",3,3,"Restaurants, Pizza, METADATA","225 S Canal Street Chicago, IL 60606 ",41.878693,-87.638924,,Yes,Yes,,Casual,Yes,$$,No,No,Yes,No,No,,,No,Average,,No,No,Yes,,(312) 441-9445,2
74GJhQVpEYbBHrZ1hK-kag,Oysy Japanese Sushi Restaurant,"Oysy Japanese Sushi Restaurant - South Loop - Chicago, IL",220,4,"Restaurants, Japanese, Sushi Bars, METADATA","888 S Michigan Ave Unit 403 (between 8th St & 9th St) Chicago, IL 60605 ",41.870705,-87.624488,,No,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,No,Dinner,Full Bar,Average,Trendy,Yes,,Yes,http://www.oysysushi.com/,(312) 922-1127,30
79PQhyLMS3fha-NMeDKbHg,Popeye's Famous Fried Chicken,"Popeye's Famous Fried Chicken - The Loop - Chicago, IL",2,4,"Restaurants, METADATA","201 N Clark Street Chicago, IL 60601 ",41.886096,-87.630399,,,Yes,,Casual,,$,No,,Yes,No,,,,,,,,,,,(312) 201-1500,1
7a9BG-eTJahBhyhqKqba5w,Vivere,"Vivere - The Loop - Chicago, IL",62,4,"Restaurants, Italian, METADATA","71 W Monroe St (between Michigan Ave & Wabash Ave) Chicago, IL 60603 ",41.880538,-87.630205,Mon-Thu 10:30 am - 10 pm Fri 10:30 am - 11 pm Sat 5 pm - 11 pm,No,Yes,Valet,Dressy,Yes,$$$,Yes,No,No,Yes,No,Free,Dinner,Full Bar,Quiet,Intimate,No,No,Yes,http://vivere-chicago.com/,(312) 332-4040,17
